id;name;cap
0;Playing_accordion;Performing music by pressing the keys and buttons of an accordion to produce a melody and chords.
1;Playing_kickball;A team sport where players kick a large ball and run around bases, similar to baseball but with more physical contact.
2;Cumbia;A Latin American dance style that originated in Colombia and is typically danced in pairs with a mix of energetic and smooth movements.
3;Shoveling_snow;Removing snow from a surface using a shovel, typically a driveway or sidewalk in cold weather conditions.
4;Mixing_drinks;Crafting and combining ingredients to create cocktails or other mixed alcoholic beverages in a bar or at home.
5;Clean_and_jerk;A weightlifting exercise in which the barbell is lifted from the ground to the shoulders and then overhead in one swift and powerful motion.
6;Mowing_the_lawn;Using a machine to cut the grass on a lawn or other outdoor area to keep it trimmed and tidy.
7;Playing_water_polo;A team sport played in a pool where players try to score by throwing a ball into the opposing team's goal while defending their own goal with swimming, passing, and shooting.
8;Playing_polo;A team sport played on horseback where players hit a ball with mallets in an attempt to score goals while riding horses.
9;Doing_nails;Grooming and painting fingernails or toenails, typically in a beauty salon or at home as a part of self-care routine.
10;Painting;Applying paint to a surface, such as a canvas or wall, to create a work of art or to freshen up a space with color and texture.
11;Shaving_legs;Removing hair from the legs using a razor or other hair removal tool to achieve a smooth and hairless appearance.
12;Tai_chi;A Chinese martial art and form of meditation that involves slow, flowing movements and deep breathing for relaxation and stress reduction.
13;Washing_dishes;Cleaning dishes and utensils in water and detergent, typically by hand or in a dishwasher, to maintain hygiene and cleanliness.
14;Snatch;A weightlifting exercise in which the barbell is lifted from the ground to overhead in one swift motion, focusing on explosive power and speed.
15;Vacuuming_floor;Using a machine to suck up dirt, dust, and debris from floors and carpets to keep them clean and tidy.
16;Pole_vault;A track and field event in which athletes use a pole to vault themselves over a high bar, requiring speed, strength, and agility.
17;Dodgeball;A game where players try to hit each other with balls while avoiding being hit themselves, promoting quick reflexes and teamwork.
18;Fixing_bicycle;Repairing and maintaining a bicycle, typically by adjusting brakes, gears, or replacing parts to keep it functional and safe.
19;Tumbling;Performing acrobatic movements, such as flips and rolls, typically on a mat or padded surface, requiring flexibility, strength, and coordination.
20;Brushing_teeth;Cleaning teeth and gums using a toothbrush and toothpaste to promote oral hygiene and fresh breath.
21;Zumba;A type of dance fitness that incorporates Latin American music and dance movements for a fun and energetic workout.
22;Ballet;A classical dance form characterized by precise and graceful movements, often accompanied by music, requiring discipline and technique.
23;Drinking_coffee;Consuming a beverage made from roasted coffee beans, often for its caffeine content and as a social ritual.
24;Playing_saxophone;Playing music on a woodwind instrument with a curved metal tube and a reed mouthpiece to create a variety of sounds and melodies.
25;Playing_squash;A racquet sport played on an indoor court where players hit a small, rubber ball against the walls to score points, requiring quick reflexes and strategic thinking.
26;Breakdancing;A style of dance that incorporates acrobatic movements, such as spins and flips, often performed to hip-hop or funk music with rhythm and creativity.
27;Hammer_throw;A track and field event in which athletes throw a heavy metal ball attached to a wire using a throwing motion for distance, strength, and technique.
28;Discus_throw;A track and field event in which athletes throw a heavy disc-shaped object using a spinning motion for distance, speed, and precision.
29;Shot_put;A track and field event in which athletes throw a heavy metal ball using a pushing motion for distance, strength, and technique.
30;Grooming_horse;Caring for and maintaining the hygiene and appearance of a horse, including brushing, bathing, and trimming its hair and hooves.
31;Getting_a_haircut;Having hair trimmed, styled, or colored by a professional hairstylist to achieve a desired look or maintain hair health.
32;Paintball;A game where players shoot each other with paint-filled pellets using air guns, promoting teamwork, strategy, and physical agility.
33;Cheerleading;A physical activity that involves stunts, jumps, and choreographed routines, often performed at sports events or competitions with energy and enthusiasm.
34;Preparing_salad;Cutting, washing, and mixing vegetables, fruits, and other ingredients to make a healthy and refreshing dish, often served as a side or a main course.
35;Spinning;Riding a stationary bike in a group fitness class, often accompanied by music and led by an instructor for cardiovascular fitness and endurance.
36;Playing_bagpipes;Playing music on a wind instrument with pipes and a bag, often associated with Scottish or Irish culture with a distinct sound.
