id;name;concept
0;abseiling;Descending a steep rock face or other terrain by using a rope attached to the body.
1;air drumming;Pretending to play a drum kit without using actual drums, typically by miming drumming movements in the air with hands and feet.
2;answering questions;Providing a response or reply to a query, request or other form of inquiry.
3;applauding;Showing approval or appreciation of someone or something by clapping hands together repeatedly.
4;applying cream;Putting lotion or other substance onto the skin, typically to moisturize, soothe or treat a skin condition.
5;archery;Shooting arrows with a bow at a target or other intended destination.
6;arm wrestling;Competitive sport or activity in which two people try to force each other's arm down onto a table while holding hands.
7;arranging flowers;Creating a decorative display of flowers or plants, typically for a special occasion or event.
8;assembling computer;Putting together the individual parts and components of a computer system to make a functional machine.
9;auctioning;Conducting a public sale in which goods or property are sold to the highest bidder.
10;baby waking up;Rousing from sleep or a state of rest, typically in the case of an infant or young child.
11;baking cookies;Preparing and cooking small, flat sweet treats made from dough that typically contains sugar, flour, butter, and eggs.
12;balloon blowing;Inflating a rubber or plastic balloon with air, typically to create a toy or decoration.
13;bandaging;Covering a wound or injury with a bandage or other protective material to prevent further damage or promote healing.
14;barbequing;Cooking food over an open flame or hot coals, typically outdoors on a grill or barbecue.
15;bartending;Mixing and serving drinks at a bar or other establishment that serves alcoholic beverages.
16;beatboxing;Producing rhythm, percussion and other sounds using only one's mouth, lips, tongue, and voice, typically in a rhythmic and melodic fashion.
17;bee keeping;Maintaining and caring for bees, typically in an apiary or other designated area, for the purpose of producing honey and other bee-related products.
18;belly dancing;Dancing style originating from the Middle East and North Africa, characterized by fluid, undulating movements of the torso and hips.
19;bench pressing;Weightlifting exercise performed while lying on one's back on a bench and lifting a barbell or other weight up and down using the arms and chest muscles.
20;bending back;Moving the upper body backwards, typically in a stretch or as part of an exercise or physical activity.
21;bending metal;using tools and equipment to reshape and manipulate metal
22;biking through snow;riding a bicycle on a snowy terrain
23;blasting sand;using a high-pressure stream of sand to clean or shape a surface
24;blowing glass;using a blowpipe to shape molten glass into various objects
25;blowing leaves;using a blower to move leaves and debris from one area to another
26;blowing nose;clearing the nasal passages of mucus by exhaling forcefully through the nose
27;blowing out candles;extinguishing the flame of candles by blowing air over it
28;bobsledding;racing down an icy track on a sled with two or four runners
29;bookbinding;the process of physically assembling a book from an ordered stack of paper sheets
30;bouncing on trampoline;jumping up and down on a trampoline for fun or exercise
