id;name;cap
0;ApplyEyeMakeup;Demonstrating the process of applying eye makeup with a variety of tools and techniques, including eyeshadow, eyeliner, and mascara.
1;ApplyLipstick;Demonstrating the process of applying lipstick, including selecting the right shade, using lip liner, and applying the lipstick evenly for a flawless finish.
2;Archery;Showing the skill and precision required for archery, with an emphasis on the technique of pulling the bowstring and releasing the arrow.
3;BabyCrawling;Capturing the adorable sight of babies crawling, with a focus on their first attempts to move and explore the world around them.
4;BalanceBeam;Displaying the athleticism and grace required for balance beam gymnastics, including jumps, turns, and acrobatic elements on a narrow beam.
5;BandMarching;Featuring the precision and synchronization of a marching band as they perform complex routines with musical instruments and choreography.
6;BaseballPitch;Highlighting the skill and power of a baseball pitcher, with a focus on different types of pitches and techniques for throwing accurately and with speed.
7;Basketball;Showcasing the excitement and athleticism of basketball, with dribbling, passing, shooting, and defense on a court with a team or individually.
8;BasketballDunk;Featuring the spectacle of a basketball player jumping and slamming the ball through the hoop with force and style, commonly known as a dunk.
9;BenchPress;Demonstrating the strength and technique required for a bench press, with a focus on proper form and breathing during the lift.
10;Biking;Showing the adventure and freedom of biking, with scenic routes and challenges such as mountain biking, road biking, and BMX tricks.
11;Billiards;Featuring the precision and strategy of billiards, with a focus on different types of shots, angles, and ball spins in games like 8-ball and 9-ball.
12;BlowDryHair;Demonstrating the process of blow drying hair, including tips for different hair types and styles, and techniques for adding volume and shine.
13;BlowingCandles;Capturing the joyful moment of blowing out birthday candles, with emphasis on creative cake designs and celebratory traditions around the world.
14;BodyWeightSquats;Highlighting the benefits of bodyweight squats for building lower body strength and endurance, with tips for proper form and variations of the exercise.
15;Bowling;Featuring the fun and competitive game of bowling, with a focus on aiming, ball speed, and spin for consistent strikes and spares.
16;BoxingPunchingBag;Demonstrating the intensity and technique of boxing on a punching bag, with a focus on proper form, footwork, and combinations for a full body workout.
17;BoxingSpeedBag;Highlighting the agility and speed required for boxing on a speed bag, with a focus on rhythm, timing, and coordination of punches for a challenging cardio workout.
18;BreastStroke;Showing the smooth and efficient technique of breaststroke swimming, with a focus on the proper arm and leg movements, and breathing for a comfortable and efficient swim.
19;BrushingTeeth;Educating viewers on the importance of brushing teeth for oral hygiene and overall health, with tips for proper brushing technique and dental care.
20;CleanAndJerk;Highlighting the strength and explosiveness required for the clean and jerk weightlifting exercise, with a focus on proper form and progressions for building muscle and power.
21;CliffDiving;Jumping off a cliff or platform into a body of water from a great height, showcasing the thrill and adrenaline rush of the sport.
22;CricketBowling;Demonstrating the skill and technique required for cricket bowling, with a focus on different types of deliveries and strategies for getting the batsman out.
23;CricketShot;Showing the power and precision of a cricket shot, with a focus on different types of shots such as the drive, pull, and cut, and the placement of the ball for maximum runs.
24;CuttingInKitchen;Demonstrating the art of cutting and chopping ingredients in the kitchen, with a focus on different types of knives and techniques for safe and efficient preparation of food.
25;Diving;Displaying the grace and athleticism of diving, with a focus on different types of dives, techniques for entering the water, and synchronization in synchronized diving.
26;Drumming;Showing the rhythm and energy of drumming, with a focus on different styles and techniques of playing, and the role of drumming in different types of music.
27;Fencing;Highlighting the speed and precision of fencing, with a focus on different types of attacks and defenses, and the scoring system for competitive matches.
28;FieldHockeyPenalty;Featuring the excitement and tension of a penalty shot in field hockey, with a focus on different types of shots and techniques for scoring under pressure.
29;FloorGymnastics;Displaying the artistry and athleticism of floor gymnastics, with a focus on tumbling passes, jumps, and dance elements, and the execution of routines with precision and style.
30;FrisbeeCatch;Showing the fun and versatility of Frisbee, with a focus on different types of throws and catches, and the competitive sport of Ultimate Frisbee.
31;FrontCrawl;Demonstrating the speed and efficiency of front crawl swimming, with a focus on proper technique for arm and leg movements, and breathing for maximum performance.
32;GolfSwing;Showing the technique and precision of a golf swing, with a focus on different types of clubs and shots, and strategies for playing different types of holes and courses.
33;Haircut;Demonstrating the skill and artistry of hair cutting, with a focus on different types of haircuts and techniques for styling and grooming hair.
34;Hammering;Showing the strength and accuracy required for hammering, with a focus on different types of hammers and techniques for driving nails and shaping metal.
35;HammerThrow;Highlighting the power and technique of hammer throwing, with a focus on the wind-up, release, and trajectory of the hammer for maximum distance.
36;HandstandPushups;Demonstrating the strength and balance required for handstand pushups, with a focus on proper form and progressions for building upper body strength and stability.
37;HandstandWalking;Showing the agility and control required for handstand walking, with a focus on proper technique and progressions for building balance and coordination.
38;HeadMassage;Demonstrating the relaxation and stress relief benefits of a head massage, with a focus on different techniques and pressure points for tension release and scalp health.
39;HighJump;Highlighting the athleticism and technique required for high jump, with a focus on the approach, take-off, and clearance over the bar for maximum height.
40;HorseRace;Featuring the excitement and adrenaline rush of horse racing, with a focus on different types of races and techniques for riding and training horses.
41;HorseRiding;Experience the joy and control of horse riding, with a focus on different riding styles, techniques, and competitions.
42;HulaHoop;Featuring the fun and fitness benefits of hula hoop, with a focus on different types of tricks, routines, and games for all ages.
